"","Estimate","lower","OR","upper","u.Accuracy","r.Accuracy","full.Accuracy","u.AUC","r.AUC","full.AUC","IDI","NRI","z.IDI","z.NRI","Frequency"
"std_9th_delta",0.192632462396111,1.13258967154557,1.21243709539382,1.29791375218969,0.666939331970006,0.690456714383095,0.723312883435583,0.705983162290639,0.698033009018615,0.743102758896441,0.108457566427338,0.678506375227687,5.29393639579802,5.7601487542119,0.9
"tqwt_maxValue_dec_12",-0.0544393381603067,0.928511677331937,0.947015954845458,0.965889003473716,0.713926380368098,0.692208588957055,0.743926380368098,0.732783886445422,0.709369252299081,0.769585165933627,0.0975022486061265,0.612622950819672,5.26959580763688,5.16987855150706,1
"std_MFCC_6th_coef",0.108177084508645,1.07310639199485,1.11424504345277,1.15696078797098,0.578680981595092,0.691564417177914,0.717791411042944,0.603368652538985,0.67108656537385,0.735568272690924,0.105423903342214,0.55327868852459,5.25593080567574,4.58096042987619,0.4
"tqwt_entropy_shannon_dec_13",-0.0240880943600619,0.96885979695114,0.976199708281249,0.98359522548798,0.687956086535357,0.688924765902486,0.698611559573782,0.713985984553547,0.654802289610471,0.723234916559692,0.102530563642776,0.662467644521139,5.23720104567996,5.62256048129519,0.95
"tqwt_TKEO_std_dec_7",-0.0208176353642439,0.972196715897372,0.979397555763123,0.986651730611315,0.64601226993865,0.680291411042944,0.713496932515337,0.677597710915634,0.668818722510996,0.735735705717713,0.105069076348709,0.561065573770492,5.22098112469369,4.67386589290774,0.8
"tqwt_maxValue_dec_7",-0.0383364623113659,0.948983670809724,0.962389078756682,0.975983852409028,0.639439088518843,0.663102541630148,0.684136722173532,0.680710572913692,0.667832866853258,0.713924430227909,0.103251736975699,0.658782201405152,5.20820802799888,5.58535850448351,0.7
"tqwt_entropy_shannon_dec_12",-0.0218829794486123,0.970927371137388,0.978354715961084,0.98583887806357,0.717597675169519,0.673748789150791,0.710623183726187,0.717764473158105,0.700318819840484,0.728702203329195,0.0996972589001841,0.674201898188093,5.10609465390908,5.69246104490015,0.95
"apq11Shimmer",0.0046240646879107,1.00293594234334,1.0046347721727,1.00633647957646,0.657055214723926,0.69079754601227,0.669325153374233,0.662405037984806,0.586975209916033,0.685985605757697,0.0995819364480417,0.468852459016393,5.09235275397591,3.83941730548988,0.1
"tqwt_maxValue_dec_10",-0.0116499507681845,0.984109388584508,0.98841764714948,0.992744766515983,0.657914110429448,0.656196319018405,0.700613496932515,0.692774890043983,0.673814474210316,0.731663334666134,0.0963751913448722,0.59672131147541,5.0888044975261,4.96938626925734,0.25
"tqwt_energy_dec_12",-0.0198114593866028,0.973573847508742,0.980383497988804,0.987240778486639,0.672217353198948,0.638212094653812,0.710692375109553,0.673690523790484,0.682319929171188,0.728772776603644,0.0937471565674307,0.60632318501171,5.06380886967913,5.04310096246191,0.7
"tqwt_entropy_log_dec_12",-0.167647996474469,0.79363929768264,0.845651454593344,0.901072294106337,0.741717791411042,0.698895705521473,0.744478527607362,0.731836265493803,0.714484206317473,0.758213714514194,0.0924178835601129,0.689180327868852,5.04790209885506,5.86319609165313,1
"tqwt_energy_dec_6",-0.00857006627036413,0.988249661113332,0.991466552065721,0.994693914448364,0.6,0.702453987730061,0.75,0.629148340663735,0.718237704918033,0.758501599360256,0.0964924127004564,0.670491803278689,5.02305356568091,5.67826685635238,0.2
"locAbsJitter",0.00833862904851596,1.00511466294254,1.00837349225212,1.01164288748901,0.639570552147239,0.653680981595092,0.694171779141104,0.657606957217113,0.688489604158337,0.706227508996401,0.095422928296447,0.526229508196721,4.9583487963621,4.30403681468573,0.2
"IMF_SNR_SEO",0.00705415562671145,1.00430344142884,1.0070790947896,1.00986241938922,0.606748466257669,0.702453987730061,0.73680981595092,0.599650139944022,0.725119952019192,0.747261095561775,0.096426204593838,0.663934426229508,4.9522748482603,5.52013357039222,0.1
"tqwt_entropy_log_dec_16",-0.0997443779237642,0.874421564398768,0.905068744020168,0.936790061857032,0.689386503067485,0.681717791411043,0.714417177914111,0.697282087165134,0.680823670531788,0.736917233106757,0.0919428599450565,0.567704918032787,4.91784300625569,4.70310428977025,1
"tqwt_kurtosisValue_dec_20",0.176900991740901,1.11460284980216,1.19351291964077,1.27800955255254,0.669509202453987,0.661656441717792,0.711411042944785,0.688861455417833,0.686773290683726,0.735799680127949,0.0929303325897838,0.66,4.91011837787276,5.55333213103872,1
"tqwt_stdValue_dec_11",-0.00466046297247273,0.993530551705866,0.995350380133914,0.997173541902344,0.669120654396728,0.660122699386503,0.698977505112474,0.679101692656271,0.683886445421831,0.721717979474877,0.0888298715988011,0.520218579234973,4.89402585223306,4.25203256305035,0.15
"std_8th_delta",0.18226069168268,1.11712334729079,1.19992696408916,1.28886816540004,0.660858895705521,0.71239263803681,0.713803680981595,0.684945021991204,0.710464814074371,0.73561675329868,0.0997347198762754,0.660491803278689,4.8919088191723,5.53679365391769,1
"tqwt_entropy_log_dec_13",-0.123650387484718,0.844007124777067,0.883688735524441,0.925236006152261,0.711042944785277,0.672453987730061,0.715950920245399,0.713206717313075,0.684756097560976,0.732274090363855,0.0898610489532044,0.631967213114754,4.86787871117148,5.29753831352827,1
"std_10th_delta_delta",0.155972715039033,1.10127597812715,1.16879431214761,1.24045214028168,0.678404907975459,0.698282208588957,0.707116564417178,0.692536985205917,0.693427628948421,0.727910835665733,0.0941147547556802,0.54,4.84666880437207,4.44211900786232,1
"tqwt_kurtosisValue_dec_26",-0.0338136975036036,0.953814564967482,0.96675159609699,0.979864098204393,0.761769454310622,0.659412334517275,0.720955763642234,0.661873145478651,0.697219007133989,0.722735116479723,0.0901461664092918,0.552027610008628,4.82457187812733,4.90964729315247,0.95
